Label;# Samples;Average;Min;Max;Std. Dev.;Error %;Throughput;Received KB/sec;Sent KB/sec;Avg. Bytes
All Products;300;519;334;3913;331.00;0.000%;.47183;5.21;0.06;11307.6
TOTAL;300;519;334;3913;331.00;0.000%;.47183;5.21;0.06;11307.6
